1,S. Mignolet,29,G
2,T. Courtois,25,G
3,K. Casteels,25,G
4,M. Sels,25,G
5,V. Kompany,31,D
6,T. Vermaelen,32,D
7,J. Vertonghen,30,D
8,L. Ciman,32,D
9,C. Kabasele,26,D
10,T. Alderweireld,28,D
11,T. Meunier,26,D
12,D. Boyata,27,D
13,J. Lukaku,23,D
14,M. Dembele,30,M
15,M. Fellaini,30,M
16,S. Defour,29,M
17,A. Witsel,28,M
18,R. Nainggolan,29,M
19,E. Hazard,26,M
20,N. Chadli,28,M
21,K. De Bruyne,26,M
22,Y. Carrasco,24,M
23,L. Dendoncker,22,M
24,T. Foket,23,M
25,A. Januzaj,22,M
26,Y. Tielemans,20,M
27,K. Mirallas,30,A
28,D. Mertens,30,A
29,C. Benteke,27,A
30,R. Lukaku,24,A
31,L. Depoitre,29,A
32,T. Hazard,24,A
33,M. Batshuayi,24,A
34,D. Origi,22,A
