1,D. Gonzalez,35,G
2,J. Cuadrado,32,G
3,D. Ospina,29,G
4,Camilo Vargas,28,G
5,L. Castellanos,33,G
6,C. Zapata,31,D
7,P. Armero,31,D
8,F. Diaz,34,D
9,O. Murillo,29,D
10,S. Arias,25,D
11,D. Bocanegra,30,D
12,S. Medina,25,D
13,W. Tesillo,27,D
14,F. Fabra,26,D
15,F. Aguilar,24,D
16,L. Balanta,27,D
17,E. alvarez,24,D
18,Y. Mina,23,D
19,D. Sanchez,21,D
20,Juan Quintero,22,D
21,L. Orejuela,22,D
22,A. Aguilar,32,M
23,M. Torres,33,M
24,C. Sanchez,31,M
25,V. Hernandez,28,M
26,G. Moreno,31,M
27,J. Cuadrado,29,M
28,J. Rodriguez,26,M
29,E. Cardona,25,M
30,D. Torres,28,M
31,G. Cuellar,25,M
32,A. Hurtado,30,M
33,M. Uribe,26,M
34,W. Barrios,24,M
35,S. Montoya,26,M
36,J. Lerma,23,M
37,R. Falcao,31,A
38,T. Gutierrez,32,A
39,F. Pardo,27,A
40,D. Zapata,26,A
41,C. Bacca,31,A
42,O. Berrio,26,A
43,L. Muriel,26,A
44,J. Copete,29,A
45,J. Izquierdo,25,A
46,M. Rangel,26,A
47,M. Borja,24,A
