1,Kwoun Sun-Tae,33,G
2,Kim Seung-Gyu,27,G
3,Kim Jin-Hyeon,30,G
4,Cho Hyun-Woo,26,G
5,Gu Sung-Yun,23,G
6,Kim Chang-Soo,32,D
7,Choi Chul-Soon,30,D
8,Park Joo-Ho,30,D
9,Kwak Tae-Hwi,36,D
10,Kim Young-Gwon,27,D
11,Hong Jeong-Ho,28,D
12,Kim Min Hyeok,25,D
13,Kim Jin-Su,25,D
14,Oh Jae-Seok,27,D
15,Rim Chang-Woo,25,D
16,Kim Joo-Young,29,D
17,Kim Ki-Hee,28,D
18,Jang Hyun-Soo,26,D
19,Kwon Kyung-Won,25,D
20,Song Ju-Hun,23,D
21,Jung Seung-Hyeon,23,D
22,Yeom Ki-Hun,34,M
23,Ki Sung-Yeung,28,M
24,Lee Chung-Yong,29,M
25,Ko Yo-Han,29,M
26,Nam Tae-Hee,26,M
27,Kim Min-Woo,27,M
28,Koo Ja-Cheol,28,M
29,Kim Bo-Kyung,28,M
30,Park Jong-Woo,28,M
31,Ji Dong-Won,26,M
32,Hwang Il-Soo,30,M
33,Han Kook-Young,27,M
34,Jung Woo-Young,28,M
35,Lee Myeong-Ju,27,M
36,Ju Se-Jong,27,M
37,Kwon Chang-Hoon,23,M
38,Lee Chang-Min,23,M
39,Lee Jae-Sung,25,M
40,Lee Keun-Ho,32,A
41,Son Heung-Min,25,A
42,Lee Jung-Hyub,26,A
43,Hwang Eui-Jo,25,A
44,Hwang Hee-Chan,21,A
