1,I. Ezenwa,29,G
2,D. Akpeyi,31,G
3,D. Alampasu,21,G
4,F. Uzoho,19,G
5,E. Echiejile,29,D
6,L. Balogun,29,D
7,K. Omeruo,24,D
8,W. Troost-Ekong,24,D
9,B. Idowu,25,D
10,O. Aina,21,D
11,A. Shehu,24,D
12,U. Agbo,22,D
13,T. Ebuehi,22,D
14,C. Awaziem,20,D
15,J. Obi Mikel,30,M
16,J. Ogu,29,M
17,O. Onazi,25,M
18,M. Agu,24,M
19,A. Iwobi,21,M
20,W. Ndidi,21,M
21,C. Nwakali,20,M
22,O. Kayode,24,A
23,A. Musa,25,A
24,A. Nwakaeme,28,A
25,M. Simon,22,A
26,I. Success,21,A
27,K. Iheanacho,21,A
28,O. Etebo,22,A
29,H. Onyekuru,20,A
30,V. Osimhen,18,A
31,A. Alhassan,21,A
32,S. Odey,19,A
