1,A. Boruc,37,G
2,L. Fabianski,32,G
3,W. Szczesny,27,G
4,L. Skorupski,26,G
5,A. Jedrzejczyk,30,D
6,M. Rybus,28,D
7,T. Cionek,31,D
8,K. Glik,29,D
9,B. Bereszynski,25,D
10,T. Kedziora,23,D
11,J. Jach,23,D
12,J. Blaszczykowski,32,M
13,K. Maczynski,30,M
14,G. Krychowiak,27,M
15,M. Makuszewski,28,M
16,R. Wolski,25,M
17,P. Wszolek,25,M
18,P. Zielinski,23,M
19,D. Kadzior,25,M
20,J. Goralski,25,M
21,K. Linetty,22,M
22,R. Kurzawa,24,M
23,P. Frankowski,22,M
24,K. Grosicki,29,A
25,K. Wilczek,29,A
26,J. Swierczok,24,A
27,M. Stepinski,22,A
