1,Assaf Al Qarni,33,G
2,Moslem Freej,29,G
3,Abdulquddus Atiah,20,G
4,Omar Hawsawi,32,D
5,Mohammed Al Khabrani,24,D
6,Abdulrahman Al Obaid,24,D
7,Abdullah Al Shammari,24,D
8,Hammam Ajaj,22,D
9,Ahmed Al Fraidi,29,M
10,Maan Khodary,26,M
11,Naif Hazazi,25,M
12,Nouh Al mousa,26,M
13,Mohammed Kanoo,23,M
14,Sultan Al Ghanam,23,M
15,Ahmed Al Fiqi,24,M
16,Jaber Mustafa,20,M
17,Salem Saeed,18,M
18,Mukhtar Fallatah,30,A
19,Salman Al Moasher,29,A
20,Khalid Al Kabi,25,A
21,Saleh Al Jamaan,24,A
22,Hazzaa Al Hazzaa,26,A
23,Ali Al-Nemer,26,A
