1,V. Stojkovic,34,G
2,M. Dmitrovic,25,G
3,O. cancarevic,28,G
4,P. Rajkovic,22,G
5,F. Manojlovic,21,G
6,D. Tosic,32,D
7,B. Ivanovic,33,D
8,A. Kolarov,32,D
9,A. Rukavina,33,D
10,I. Obradovic,29,D
11,J. Vukovic,29,D
12,N. Aksentijevic,24,D
13,A. Filipovic,23,D
14,S. Panic,25,D
15,N. Maras,22,D
16,M. Simonovic,27,D
17,M. Klisura,25,D
18,N. calasan,21,D
19,N. Krsticic,27,M
20,D. Tadic,29,M
21,N. Gudelj,26,M
22,E. Alivodic,32,M
23,F. Kostic,25,M
24,N. cirkovic,26,M
25,M. Jevtovic,24,M
26,M. Gobeljic,25,M
27,J. Dokic,25,M
28,A. Zivkovic,21,M
29,M. Gacinovic,22,M
30,M. Veljkovic,22,M
31,A. Palocevic,24,M
32,M. Grujic,21,M
33,S. Milinkovic-Savic,22,M
34,N. Maksimovic,22,M
35,Nemanja Miletic,26,M
36,S. Plavsic,22,M
37,A. Prijovic,27,A
38,A. Ljajic,26,A
39,S. Jovanovic,26,A
40,A. Mitrovic,23,A
41,L. Jovanovic,24,A
42,N. Radonjic,21,A
43,M. Mrkic,21,A
44,D. Ivanovic,22,A
