1,Pepe Reina,35,G
2,David de Gea,27,G
3,Sergio Rico,24,G
4,Kepa,23,G
5,Sergio Ramos,31,D
6,Nacho Monreal,31,D
7,Javi Martínez,29,D
8,Pique,30,D
9,Azpilicueta,28,D
10,Jordi Alba,28,D
11,Bartra,26,D
12,Nacho,27,D
13,Daniel Carvajal,25,D
14,Alberto Moreno,25,D
15,Alvaro Odriozola,22,D
16,Iniesta,33,M
17,David Silva,31,M
18,Sergio Busquets,29,M
19,Pedro,30,M
20,Illarramendi,27,M
21,Ander Herrera,28,M
22,Thiago Alcantara,26,M
23,Isco,25,M
24,Vitolo,28,M
25,Luis Alberto,25,M
26,Saul,23,M
27,Koke,25,M
28,Marco Asensio,21,M
29,Jose Callejon,30,A
30,Diego Costa,29,A
31,Iago Aspas,30,A
32,Alvaro Morata,25,A
33,Rodrigo,26,A
34,Deulofeu,23,A
35,Suso,24,A
