Argentina,D,1,CONMEBOL,1,Argentina.csv
Australia,C,2,AFC,4,Australia.csv
Belgium,G,1,UEFA,1,Belgium.csv
Brazil,E,1,CONMEBOL,1,Brazil.csv
Colombia,H,3,CONMEBOL,2,Colombia.csv
Costa Rica,E,3,CONCACAF,3,CostaRica.csv
Croatia,D,3,UEFA,2,Croatia.csv
Denmark,C,4,UEFA,3,Denmark.csv
Egypt,A,3,CAF,3,Egypt.csv
England,G,4,UEFA,2,England.csv
France,C,1,UEFA,1,France.csv
Germany,F,1,UEFA,1,Germany.csv
Iceland,D,2,UEFA,3,Iceland.csv
Iran,B,4,AFC,3,Iran.csv
Japan,H,4,AFC,4,Japan.csv
Korea Republic,F,4,AFC,4,Korea.csv
Mexico,F,2,CONCACAF,2,Mexico.csv
Morocco,B,3,CAF,4,Morocco.csv
Nigeria,D,4,CAF,4,Nigeria.csv
Panama,G,2,CONCACAF,4,Panama.csv
Peru,C,3,CONMEBOL,2,Peru.csv
Poland,H,1,UEFA,1,Poland.csv
Portugal,B,1,UEFA,1,Portugal.csv
Russia,A,1,UEFA,1,Russia.csv
Saudi Arabia,A,2,AFC,4,SaudiArabia.csv
Senegal,H,2,CAF,3,Senegal.csv
Serbia,E,4,UEFA,4,Serbia.csv
Spain,B,2,UEFA,2,Spain.csv
Sweden,F,3,UEFA,3,Sweden.csv
Switzerland,E,2,UEFA,2,Switzerland.csv
Tunisia,G,3,CAF,3,Tunisia.csv
Uruguay,A,4,CONMEBOL,2,Uruguay.csv
