1,F. Muslera,31,G
2,E. Conde,34,G
3,M. Silva,34,G
4,M. Campana,28,G
5,G. Guruceaga,22,G
6,M. Pereira,33,D
7,M. Caceres,30,D
8,D. Godin,31,D
9,M. Corujo,31,D
10,S. Coates,27,D
11,G. Silva,23,D
12,G. Varela,24,D
13,J. Gimenez,22,D
14,F. Ricca,23,D
15,M. Lemos,21,D
16,C. Rodriguez,32,M
17,Alvaro Gonzalez,33,M
18,E. Arevalo,35,M
19,N. Lodeiro,28,M
20,C. Sanchez,33,M
21,J. Urretaviscaya,27,M
22,M. Vecino,26,M
23,D. Laxalt,24,M
24,G. De Arrascaeta,23,M
25,N. Nandez,21,M
26,R. Bentancur,20,M
27,F. Valverde,19,M
28,E. Cavani,30,A
29,C. Stuani,31,A
30,A. Silva,28,A
31,D. Rolan,24,A
32,G. Pereiro,22,A
33,M. Gomez,21,A
